news_context,label,category,source_type,news_id,generated_at,meta_intent,meta_style
"शीर्षक: प्रधानमन्त्रीको नयाँ नीति घोषणा

काठमाण्डौ – प्रधानमन्त्री शेरबहादुर देउवा ले आजै राष्ट्रिय संसदमा नयाँ आर्थिक सुधार नीति घोषणा गरे। यस नीति अन्तर्गत कर प्रणालीमा सुधार, सार्वजनिक क्षेत्रको पुनर्गठन र विदेशी लगानीलाई प्रोत्साहन गर्ने उपायहरू समावेश छन्। संसदमा ४०० भन्दा बढी सांसदहरूले समर्थन व्यक्त गरे।",0,politics,online_portal,NP_0017155,2026-01-17T02:28:36.637236,informative,formal
"शीर्षक: प्रधानमन्त्रीलाई गद्दारको आरोप

काठमाण्डौ – सामाजिक मिडियामा फैलिएको अफवाह अनुसार प्रधानमन्त्री शेरबहादुर देउवा लाई गद्दारको आरोप लगाइएको छ। रिपोर्ट अनुसार उनले विदेशमा गुप्त बैठकमा भाग लिएका छन्। तथापि, यस विषयमा कुनै आधिकारिक पुष्टि भएको छैन।",1,politics,social_media,NP_0017156,2026-01-17T02:28:36.637255,misleading,sensational
"शीर्षक: नपेलको विनिमय दर स्थिर

काठमाण्डौ – नपेलको विनिमय दर आज १२०० पेसो प्रति अमेरिकी डलरमा स्थिर रहयो। वित्तीय मन्त्रालयले यो स्थिरता सुनिश्चित गर्न विदेशी मुद्रा भण्डारमा ५०० मिलियन डलर थप गरेको बताएका छन्।",0,economy,online_portal,NP_0017157,2026-01-17T02:28:36.637261,informative,formal
"शीर्षक: नपेलको मुद्रा अवमूल्यन हुने आसन्न

काठमाण्डौ – अफवाह अनुसार नपेलको मुद्रा २०% अवमूल्यन हुने आसन्न छ। रिपोर्ट अनुसार विदेशी बैंकरहरूले नपेलको बैंकिङ प्रणालीमा विश्वास गुमाएका छन्। तथापि, यस विषयमा कुनै आधिकारिक पुष्टि छैन।",1,economy,social_media,NP_0017158,2026-01-17T02:28:36.637265,misleading,sensational
"शीर्षक: स्वास्थ्य मन्त्रालयले नयाँ रोग नियन्त्रण योजना

काठमाण्डौ – स्वास्थ्य मन्त्रालयले आजै नयाँ रोग नियन्त्रण योजना घोषणा गरेको छ। यसमा टाइप २ डायबिटीज र उच्च रक्तचापको रोकथाम कार्यक्रम समावेश छ। कार्यक्रम अन्तर्गत १०,००० स्वास्थ्यकर्मीलाई प्रशिक्षण दिइनेछ।",0,health,online_portal,NP_0017159,2026-01-17T02:28:36.637271,informative,formal
"शीर्षक: नयाँ खोपले १००% रोग मार्ने दावी

काठमाण्डौ – सामाजिक मिडियामा फैलिएको अफवाह अनुसार नयाँ खोपले १००% रोग मार्ने दावी गरिएको छ। रिपोर्ट अनुसार यो खोपले १००% रोगीलाई पूर्ण रूपमा स्वस्थ बनाउँछ। तथापि, वैज्ञानिक प्रमाण उपलब्ध छैन।",1,health,social_media,NP_0017160,2026-01-17T02:28:36.637276,misleading,sensational
काठमाण्डौ – संसदमा आजै नयाँ सार्वजनिक स्वास्थ्य कानूनको बारेमा बहस गरियो। सांसदहरूले यस कानूनले स्वास्थ्य सेवा पहुँचलाई सुधार गर्ने र ग्रामीण क्षेत्रहरूमा अस्पताल निर्माण गर्ने योजना समर्थन गरेका छन्।,0,politics,government_release,NP_0017161,2026-01-17T02:29:34.583799,informative,formal
"काठमाण्डौ – एक अनाम स्रोतले खुलासा गरेको छ कि प्रधानमन्त्रीको कार्यालयमा ठूलो भ्रष्टाचारको घोटाला चलिरहेको छ, जसमा सरकारी ठेक्का ५० करोड रुपैयाँको रकममा लुप्त भएको भनिएको छ।",1,politics,social_media,NP_0017162,2026-01-17T02:29:34.583817,misleading,sensational
"काठमाण्डौ – राष्ट्रिय सांख्यिकीय ब्यूरोले प्रकाशित गरेको रिपोर्ट अनुसार, २०२५ को पहिलो त्रैमासिकमा नेपालको सकल घरेलु उत्पादन (GDP) ४.५ प्रतिशतले वृद्धी भएको छ।",0,economy,online_portal,NP_0017163,2026-01-17T02:29:34.583822,informative,formal
"काठमाण्डौ – एक अनलाइन अफवाह अनुसार, नेपालको मुद्रा २४ घण्टामा शून्यमा गयो र सबै बैंक खाता शून्यमा परिणत भएको छ।",1,economy,rumor,NP_0017164,2026-01-17T02:29:34.583825,misleading,sensational
