news_context,label,category,source_type,news_id,generated_at,meta_intent,meta_style
"नेपाल संसदमा २०२६ वर्षको संविधान संशोधनको प्रस्ताव पारित भयो। प्रस्तावमा शैक्षिक, स्वास्थ्य र पर्यावरणीय अधिकारहरूमा सुधार गरिनेछ।",0,politics,official_website,NP_0039734,2026-01-26T15:01:26.762144,informative,formal
संसदमा अचानक सबै सांसदहरूलाई पदबाट हटाउने निर्णय गरियो। यो निर्णयको कारण अस्पष्ट रहेको छ र तत्कालै विरोध प्रदर्शनहरू चल्दैछन्।,1,politics,social_media,NP_0039735,2026-01-26T15:01:26.762158,misleading,sensational
नेपालको राष्ट्रिय आर्थिक समिक्षा २०२५ मा ४.५% वृद्धिको अनुमान लगाएको छ। यो वृद्धिले देशको औद्योगिक उत्पादन र निर्यातमा सकारात्मक प्रभाव पारेको छ।,0,economy,news_agency,NP_0039736,2026-01-26T15:01:26.762164,informative,formal
नेपालको बैंकिङ प्रणाली अचानक बन्द हुने घोषणा गरियो। यसले सबै बैंक खातामा रहेको रकमलाई अस्थायी रूपमा निलम्बन गर्नेछ।,1,economy,social_media,NP_0039737,2026-01-26T15:01:26.762169,misleading,sensational
स्वास्थ्य मन्त्रालयले दादुका विरुद्ध नयाँ खोप अभियान सुरु गरेको छ। अभियानमा ५० लाख खोपको वितरण गरिनेछ।,0,health,official_website,NP_0039738,2026-01-26T15:01:26.762173,informative,formal
खोपले गर्भवती महिलामा गर्भपात गर्ने दाबी फैलिएको छ। यो दाबीको वैज्ञानिक आधार छैन।,1,health,social_media,NP_0039739,2026-01-26T15:01:26.762178,misleading,sensational
"सामाजिक कार्यकर्ताहरूले शहरी क्षेत्रमा कचरा व्यवस्थापन कार्यक्रम सञ्चालन गरिरहेका छन्। कार्यक्रमले १०,००० टन कचरा पुनर्चक्रण गर्ने लक्ष्य राखेको छ।",0,society,news_agency,NP_0039740,2026-01-26T15:01:26.762183,informative,formal
सामाजिक मीडिया पर्‍योशमा सबै महिलाहरूलाई घरबाट बाहिर निस्कन मनाइयो। यो दाबीको आधार अस्पष्ट छ।,1,society,social_media,NP_0039741,2026-01-26T15:01:26.762188,misleading,sensational
नेपालमा पहिलो 5G नेटवर्क २०२६ मा सुरू हुने घोषणा गरियो। यसले मोबाइल सेवामा १००% सुधार ल्याउने अपेक्षा गरिएको छ।,0,technology,official_website,NP_0039742,2026-01-26T15:01:26.762192,informative,formal
स्मार्टफोनले मानवलाई रोबोटमा परिवर्तन गर्ने घोषणा गरियो। यो दाबीको वैज्ञानिक आधार छैन।,1,technology,social_media,NP_0039743,2026-01-26T15:01:26.762196,misleading,sensational
"कृषि मन्त्रालयले नयाँ जैविक खेती कार्यक्रम सुरु गरेको छ। कार्यक्रमले २०,००० किसानलाई जैविक उत्पादनमा प्रशिक्षित गर्नेछ।",0,agriculture,official_website,NP_0039744,2026-01-26T15:01:26.762201,informative,formal
कृषि क्षेत्रमा सबै फसला मार्नको लागि रासायनिक दवाइको प्रयोग गरिने घोषणा गरियो। यो दाबीको आधार अस्पष्ट छ।,1,agriculture,social_media,NP_0039745,2026-01-26T15:01:26.762206,misleading,sensational
"नेपालको पर्यटन विभागले नयाँ ट्रेकिङ् मार्ग घोषणा गरेको छ। यो मार्गले १०,००० पर्यटकलाई आकर्षित गर्ने अपेक्षा गरिएको छ।",0,tourism,official_website,NP_0039746,2026-01-26T15:01:26.762210,informative,formal
नेपालको सबै पर्यटकहरूलाई देशबाट निस्कन आदेश गरियो। यो दाबीको आधार अस्पष्ट छ।,1,tourism,social_media,NP_0039747,2026-01-26T15:01:26.762215,misleading,sensational
शिक्षा मन्त्रालयले कक्षामा डिजिटल उपकरणको प्रयोग गरिने घोषणा गर्यो। यसले विद्यार्थीहरूलाई अनलाइन स्रोतहरूसम्म पहुँच दिनेछ।,0,education,official_website,NP_0039748,2026-01-26T15:01:26.762219,informative,formal
