news_context,label,category,source_type,news_id,generated_at,meta_intent,meta_style
काठमाडौँ: प्रधानमन्त्री दीनेश पोखरेलले आजै घोषणा गरे कि सरकारले २०२६ आर्थिक वर्षमा ग्रामीण क्षेत्रको बुनियादी ढाँचामा १००० करोड रुपैयाँको लगानी गर्नेछ।,0,politics,official_website,NP_0054409,2026-01-27T14:33:42.425989,informative,formal
नेपाल बैंकिङ् एसोसिएशनले रिपोर्ट गरेको छ कि २०२५ मा बैंकिङ् क्षेत्रले ८.५ प्रतिशतको वृद्धिदर प्राप्त गरेको छ।,0,economy,financial_news,NP_0054410,2026-01-27T14:33:42.425999,informative,formal
स्वास्थ्य मन्त्रालयले घोषणा गर्‍यो कि दादुरा–रुबेला विरुद्धको नयाँ खोप अभियान ७७ जिल्लामा सुरु हुनेछ।,0,health,government_press_release,NP_0054411,2026-01-27T14:33:42.426002,informative,formal
"काठमाडौँ: समाजसेवक समूहले २०२६ मा १०,००० जना बालबालिकालाई शैक्षिक कार्यक्रममा समावेश गर्ने योजना बनाएको छ।",0,society,community_news,NP_0054412,2026-01-27T14:33:42.426005,informative,formal
"नेपाल सरकारले आजै घोषणा गर्‍यो कि देशभरि ५,००० नयाँ हाई-स्पीड इन्टरनेट टावरहरू स्थापना गरिनेछ।",0,technology,tech_news,NP_0054413,2026-01-27T14:33:42.426008,informative,formal
काठमाण्डूको एक कृषि अनुसन्धान केन्द्रले नयाँ दालको किसिम विकास गरेको छ जसले वर्षको २० प्रतिशत उत्पादन वृद्धि गर्ने वाचा गरेको छ।,0,agriculture,agri_report,NP_0054414,2026-01-27T14:33:42.426011,informative,formal
नेपाल पर्यटन बोर्डले घोषणा गर्‍यो कि २०२६ मा देशभरि १०० नयाँ पर्यटन गन्तव्यहरू खुल्नेछ।,0,tourism,tourism_release,NP_0054415,2026-01-27T14:33:42.426013,informative,formal
विश्वविद्यालयको शिक्षा विभागले नयाँ पाठ्यक्रमको घोषणा गर्‍यो जसले कम्प्युटर विज्ञानमा २० प्रतिशत वृद्धि गर्नेछ।,0,education,university_announcement,NP_0054416,2026-01-27T14:33:42.426016,informative,formal
काठमाडौँ: पुलिसले आजै एक ठूलो चोरीको केसमा ५ जना अपराधीलाई पक्राउ गरेको छ।,0,crime,law_enforcement,NP_0054417,2026-01-27T14:33:42.426018,informative,formal
नेपाल मौसम विभागले चेतावनी जारी गर्‍यो कि भोलिदेखि काठमाण्डूमा भारी वर्षा हुने सम्भावना छ।,0,disaster,meteorological_alert,NP_0054418,2026-01-27T14:33:42.426021,informative,formal
