news_context,label,category,source_type,news_id,generated_at,meta_intent,meta_style
"संसदमा आज नयाँ संविधान संशोधन प्रस्ताव स्वीकृत गरियो। प्रस्तावले शिक्षा, स्वास्थ्य र पर्यावरण सम्बन्धी नीतिहरूमा महत्वपूर्ण परिवर्तनहरू ल्याउने अपेक्षा गरिएको छ।",0,politics,government_press_release,NP_0032459,2026-01-22T14:05:57.330511,informative,formal
"सामाजिक सञ्जालमा फैलिएको हल्ला अनुसार, सरकारले घोषणा गरेको छ कि आगामी वर्षदेखि सबै आयकर शून्य हुनेछ। यो खबरको कुनै आधिकारिक पुष्टि छैन।",1,economy,social_media,NP_0032460,2026-01-22T14:05:57.330511,misleading,sensational
स्वास्थ्य मन्त्रालयले आज दादु‑रुबेला विरुद्धको राष्ट्रिय खोप अभियानको घोषणा गर्‍यो। अभियान ७७ जिल्लामा लागू हुनेछ र ५० हजार स्वास्थ्यकर्मी परिचालन गरिनेछन्।,0,health,online_portal,NP_0032461,2026-01-22T14:05:57.330511,informative,formal
एक अनौपचारिक ब्लगले भ्रामक रिपोर्ट प्रकाशित गरेको छ जसमा दाबी गरिएको छ कि सबै नेपालीहरू २० वर्षको उमेरमा जन्म हुनेछन्। यो दाबीको आधार अस्पष्ट र अविश्वसनीय छ।,1,society,blog,NP_0032462,2026-01-22T14:05:57.330511,misleading,sensational
नेपालमा पहिलो 5G नेटवर्क परीक्षण सफलतापूर्वक सम्पन्न भयो। परीक्षणमा १००० भन्दा बढी प्रयोगकर्ताले उच्च गति इन्टरनेट अनुभव गरे।,0,technology,news_agency,NP_0032463,2026-01-22T14:05:57.330511,informative,formal
सामाजिक सञ्जालमा एक हल्ला फैलिएको छ कि राष्ट्रपतिले आफ्नो नाम सार्वजनिक नगरी अनाम रहस्यमा पद धारण गर्नेछन्। यो दाबीको कुनै प्रमाण छैन।,1,politics,social_media,NP_0032464,2026-01-22T14:05:57.330511,misleading,sensational
नेपाल बैंकले आज घोषणा गर्‍यो कि ब्याज दर ४% घटाइनेछ। यसले ऋणग्राहीहरूलाई लाभ पुर्‍याउने अपेक्षा गरिएको छ।,0,economy,government_press_release,NP_0032465,2026-01-22T14:05:57.330511,informative,formal
एक अनौपचारिक ब्लगले दाबी गरेको छ कि सार्वजनिक स्वास्थ्यमा नयाँ पेनिसिलिन खोजिएको छ जसले सबै जीवाणु संक्रमणलाई नष्ट गर्नेछ। यो दाबी वैज्ञानिक आधारमा पुष्टि भएको छैन।,1,health,blog,NP_0032466,2026-01-22T14:05:57.330511,misleading,sensational
"बच्चा कल्याण कार्यक्रम अन्तर्गत आज १०,००० बच्चालाई दत्तक ग्रहण गर्ने कार्यक्रम सफलतापूर्वक सम्पन्न भयो। कार्यक्रममा भाग लिएका परिवारहरूलाई आर्थिक सहयोग समेत दिइयो।",0,society,online_portal,NP_0032467,2026-01-22T14:05:57.330511,informative,formal
सामाजिक सञ्जालमा एउटा हल्ला फैलिएको छ कि नेपालमा स्वतः चल्ने ड्रोनले सबै ट्राफिक दुर्घटना रोक्नेछ। यो दाबीको कुनै वैज्ञानिक आधार छैन।,1,technology,social_media,NP_0032468,2026-01-22T14:05:57.330511,misleading,sensational
