news_context,label,category,source_type,news_id,generated_at,meta_intent,meta_style
संसदमा आज नयाँ संविधान संशोधनको प्रस्ताव स्वीकृत गरियो। प्रस्तावमा २०२४ सालको आर्थिक वर्षको बजेटमा ५% वृद्धि र शिक्षा क्षेत्रको लागि विशेष अनुदान समावेश गरिएको छ।,0,politics,online_portal,NP_0008834,2026-01-16T07:31:33.515939,informative,formal
नेपाल बैंकले आज ब्याज दर ४.५% मा राख्ने निर्णय घोषणा गर्यो। यस निर्णयले ऋण लागतलाई स्थिर राख्ने र आर्थिक वृद्धिमा योगदान पुर्याउने आशा गरिएको छ।,0,economy,tv,NP_0008835,2026-01-16T07:31:33.515953,informative,formal
काठमाण्डौको सार्वजनिक अस्पतालमा टाइप-२ मधुमेह रोगीको संख्या २०% घटेको रिपोर्ट जारी गरियो। यो घटाव स्वास्थ्य कार्यक्रम र जागरुकता अभियानको सफलताको प्रमाण हो।,0,health,radio,NP_0008836,2026-01-16T07:31:33.515958,informative,formal
"शहरमा बालबालिकालाई शिक्षा सुविधा सुधारको लागि १०० नयाँ कक्षा खोलिएको छ। यसले ५,००० भन्दा बढी बालबालिकालाई निःशुल्क शिक्षा उपलब्ध गराउनेछ।",0,society,print,NP_0008837,2026-01-16T07:31:33.515961,informative,formal
नेपालको पहिलो 5G नेटवर्क आज सफलतापूर्वक सुरु गरियो। यसले ग्रामीण क्षेत्रहरूमा उच्च गति इन्टरनेट पहुँच सुनिश्चित गर्नेछ।,0,technology,online_portal,NP_0008838,2026-01-16T07:31:33.515965,informative,formal
काठमाडौँ उपत्यकामा जैविक खेतीको उत्पादन ३०% वृद्धी भएको रिपोर्ट आएको छ। यसले किसानहरूलाई बढी आम्दानी र पर्यावरणीय स्थिरता सुनिश्चित गर्नेछ।,0,agriculture,blog,NP_0008839,2026-01-16T07:31:33.515969,informative,formal
पोखरामा विदेशी पर्यटकको संख्या १.५ मिलियन पुगेको छ। पर्यटन विभागले यो वृद्धि पर्यटन अवसंरचना सुधार र प्रचार कार्यक्रमको सफलताको कारण मान्छ।,0,tourism,tv,NP_0008840,2026-01-16T07:31:33.515972,informative,formal
विश्वविद्यालयमा नयाँ अनुसन्धान केन्द्र उद्घाटन गरियो। यस केन्द्रले बायोटेक्नोलोजी र नवीकरणीय ऊर्जा क्षेत्रमा अनुसन्धान गर्नेछ।,0,education,radio,NP_0008841,2026-01-16T07:31:33.515976,informative,formal
काठमाण्डौमा चोरीको घटना १५% घटेको रिपोर्ट जारी गरियो। यसले सुरक्षा उपायहरू र सार्वजनिक जागरुकता कार्यक्रमको सफलताको संकेत हो।,0,crime,print,NP_0008842,2026-01-16T07:31:33.515979,informative,formal
"हिमालयमा भूकम्पको बाद बाढी नियन्त्रणको लागि नयाँ जल व्यवस्थापन परियोजना सुरु गरियो। परियोजनाले १०,००० भन्दा बढी परिवारलाई सुरक्षित गर्नेछ।",0,disaster,online_portal,NP_0008843,2026-01-16T07:31:33.515982,informative,formal
सरकारले आज घोषणा गर्यो कि सबै राजनैतिक दलहरूलाई एकै पार्टीमा विलीन गर्ने निर्णय लिइयो। यसले राजनीतिक स्थिरता र निर्णय प्रक्रियामा सघनता ल्याउने आशा गरिएको छ।,1,politics,social_media,NP_0008844,2026-01-16T07:31:33.515986,misleading,sensational
नेपालको मुद्रा आज १००% मूल्यह्रास भएको घोषणा गरियो। यसले आयात मूल्यहरूमा तीव्र वृद्धि र आर्थिक अस्थिरता निम्त्याउने अपेक्षा गरिएको छ।,1,economy,blog,NP_0008845,2026-01-16T07:31:33.515989,misleading,sensational
सार्वजनिक अस्पतालमा सबै रोगीलाई मोन्टेरी द्रव्य दियो। यो द्रव्यले रोगीलाई १ दिनमा पूर्ण स्वास्थ्य पुनर्स्थापना गर्ने दाबी गरिएको छ।,1,health,social_media,NP_0008846,2026-01-16T07:31:33.515992,misleading,sensational
शहरमा सबै नागरिकलाई १००% निःशुल्क मोबाइल फोन वितरण गरिने घोषणा गरियो। यो कार्यक्रमले डिजिटल समावेशीता बढाउने लक्ष्य राखेको छ।,1,society,print,NP_0008847,2026-01-16T07:31:33.515995,misleading,sensational
नेपालले पहिलो बार अन्तरिक्षबाट पृथ्वीको प्रतिमा प्राप्त गर्यो। यो प्रतिमा विश्वका सबै वैज्ञानिकहरूलाई चकित पार्ने अपेक्षा गरिएको छ।,1,technology,tv,NP_0008848,2026-01-16T07:31:33.515998,misleading,sensational
