news_context,label,category,source_type,news_id,generated_at,meta_intent,meta_style
शीर्षक: प्रधानमन्त्रीको नयाँ नीति घोषणा - ग्रामीण विकासमा १०० करोड टका,0,politics,online_portal,NP_0025357,2026-01-17T21:41:07.945945,informative,formal
शीर्षक: निपालको विनिमय दरमा सुधार - १ USD = १३.५ NPR,0,economy,government_release,NP_0025358,2026-01-17T21:41:07.945956,informative,formal
शीर्षक: स्वास्थ्य मन्त्रालयले नयाँ दादु-रुबेला खोप अभियान शुरू,0,health,online_portal,NP_0025359,2026-01-17T21:41:07.945961,informative,formal
शीर्षक: समाजमा वृद्ध जनसंख्याको स्वास्थ्य सेवा सुधारको पहल,0,society,online_portal,NP_0025360,2026-01-17T21:41:07.945964,informative,formal
शीर्षक: निपालमा पहिलो पूर्ण स्वचालित स्मार्ट शहरको घोषणा,0,technology,tech_blog,NP_0025361,2026-01-17T21:41:07.945967,informative,formal
शीर्षक: निपालको कृषि उत्पादनमा २०% वृद्धि - सरकारको नयाँ योजना,0,agriculture,government_release,NP_0025362,2026-01-17T21:41:07.945970,informative,formal
शीर्षक: काठमाण्डौको नयाँ पर्यटन स्थलमा १ करोड पर्यटकको आगमन,0,tourism,online_portal,NP_0025363,2026-01-17T21:41:07.945973,informative,formal
शीर्षक: निपालको उच्च शिक्षा आयोगले २०० नयाँ विश्वविद्यालयको स्वीकृति,0,education,government_release,NP_0025364,2026-01-17T21:41:07.945977,informative,formal
शीर्षक: काठमाडौंमा ठूलो चोरीको घटना - १० लाख टका मूल्यको वस्तु हरायो,0,crime,news_ticker,NP_0025365,2026-01-17T21:41:07.945980,informative,formal
शीर्षक: द्रुत नदीको बाढीले ५०० परिवारलाई प्रभावित - राहत कार्य सुरू,0,disaster,government_release,NP_0025366,2026-01-17T21:41:07.945983,informative,formal
शीर्षक: प्रधानमन्त्रीको रहस्योद्घाटन - निपालको सबै बैंकहरू कलमध्यानमा बन्द,1,politics,social_media,NP_0025367,2026-01-17T21:41:07.945986,misleading,sensational
शीर्षक: निपालको शेयर बजारमा अचानक गिरावट - १००% को घट,1,economy,financial_blog,NP_0025368,2026-01-17T21:41:07.945989,misleading,sensational
शीर्षक: स्वास्थ्य विभागले घोषणा गर्यो - १ टन दादु-रुबेला खोप अब उपलब्ध छैन,1,health,social_media,NP_0025369,2026-01-17T21:41:07.945993,misleading,sensational
शीर्षक: समाजमा अनौठो घटना - सबै वृद्धजनहरू रातो कपडा लगाएर गयो,1,society,viral_video,NP_0025370,2026-01-17T21:41:07.945996,misleading,sensational
शीर्षक: निपालको पहिलो पिरोवाली रोबोटले सबै कामहरू गर्ने घोषणा,1,technology,tech_forum,NP_0025371,2026-01-17T21:41:07.946003,misleading,sensational
शीर्षक: निपालको कृषि क्षेत्रमा १००% उत्पादन वृद्धि - सबै फसलहरू अब स्वचालित,1,agriculture,social_media,NP_0025372,2026-01-17T21:41:07.946007,misleading,sensational
शीर्षक: काठमाण्डौको नयाँ पर्यटन स्थलमा सबै पर्यटकहरूलाई १००% छुट,1,tourism,travel_blog,NP_0025373,2026-01-17T21:41:07.946010,misleading,sensational
शीर्षक: निपालको शिक्षा प्रणालीमा पूर्ण स्वचालित परीक्षा प्रणाली लागू,1,education,social_media,NP_0025374,2026-01-17T21:41:07.946013,misleading,sensational
शीर्षक: काठमाडौंमा चोरीको घटना - सबै बैंक खाताहरू शून्य,1,crime,news_ticker,NP_0025375,2026-01-17T21:41:07.946017,misleading,sensational
शीर्षक: द्रुत नदीको बाढीले सबै घरहरू नष्ट - निपालको इतिहासमा सबैभन्दा ठूलो बाढी,1,disaster,social_media,NP_0025376,2026-01-17T21:41:07.946020,misleading,sensational
काठमाण्डौ – प्रधानमन्त्री दिपक शर्मा ले आजै संसदमा नयाँ संविधान संशोधनको प्रस्ताव स्वीकार गरेको घोषणा गरे। प्रस्तावमा ग्रामीण विकास र शिक्षा क्षेत्रमा विशेष ध्यान दिइएको छ।,0,politics,government_release,NP_0025377,2026-01-17T21:42:20.789915,informative,formal
काठमाण्डौ – राष्ट्रिय बैंकले आजै २०२६ को पहिलो तिमाहीमा मुद्रास्फीति ४.२% रहेको रिपोर्ट जारी गर्‍यो।,0,economy,online_portal,NP_0025378,2026-01-17T21:42:20.789928,informative,neutral
काठमाण्डौ – स्वास्थ्य मन्त्रालयले दादुरा र रूबेलाका लागि राष्ट्रिय खोप अभियान सुरु गर्ने घोषणा गर्‍यो।,0,health,government_release,NP_0025379,2026-01-17T21:42:20.789933,informative,formal
काठमाण्डौ – स्थानीय समाजसेवकहरूले १०० जना वृद्धजनका लागि स्वास्थ्य क्याम्प चलाउने योजना बनाएका छन्।,0,society,news_agency,NP_0025380,2026-01-17T21:42:20.789936,informative,neutral
काठमाण्डौ – नयाप्रौद्योगिकी कम्पनी 'साइबरसोल' ले नयाँ 5G नेटवर्क उपकरणको घोषणा गर्‍यो।,0,technology,tech_blog,NP_0025381,2026-01-17T21:42:20.789940,informative,formal
काठमाण्डौ – कृषी मन्त्रालयले २०२६ को लागि ५ लाख टन धान उत्पादनको लक्ष्य राखेको छ।,0,agriculture,government_release,NP_0025382,2026-01-17T21:42:20.789944,informative,formal
काठमाण्डौ – तिब्बतको सीमा नजिकको 'मोनाल्डा' क्षेत्रलाई अन्तर्राष्ट्रिय पर्यटक केन्द्रको रूपमा चिन्हित गरियो।,0,tourism,online_portal,NP_0025383,2026-01-17T21:42:20.789948,informative,neutral
काठमाण्डौ – शिक्षा मन्त्रालयले २०२६ को लागि २०० नयाँ प्राथमिक विद्यालय खोल्ने योजना जारी गर्‍यो।,0,education,government_release,NP_0025384,2026-01-17T21:42:20.789951,informative,formal
काठमाण्डौ – २५ वर्षको युवकलाई बैंक ठगीको आरोपमा १० वर्षको कारावासको सजा सुनाइएको छ।,0,crime,news_agency,NP_0025385,2026-01-17T21:42:20.789955,informative,neutral
"काठमाण्डौ – २०२६ को पहिलो वर्षमा १५ वटा भूकम्पको रिपोर्ट आएको छ, जसमा ४० भन्दा बढी मानिसको मृत्यु भएको छ।",0,disaster,government_release,NP_0025386,2026-01-17T21:42:20.789958,informative,formal
काठमाण्डौ – प्रधानमन्त्रीले घोषणा गर्‍यो कि सरकारले सबै नागरिकलाई १००० रुपैयाँ अनुदान दिन्छ।,1,politics,social_media,NP_0025387,2026-01-17T21:42:20.789962,misleading,sensational
काठमाण्डौ – नयाप्रविधि कम्पनीले घोषणा गर्‍यो कि नयी मुद्रा 'नयाँ रुपया' १ वर्षमा १०००% मूल्यवृद्धि गर्नेछ।,1,economy,blog,NP_0025388,2026-01-17T21:42:20.789965,misleading,sensational
काठमाण्डौ – स्वास्थ्य विभागले घोषणा गर्‍यो कि १००% प्रभावकारी घरेलु उपचारले दादुरा र रूबेलालाई हराउन सक्छ।,1,health,social_media,NP_0025389,2026-01-17T21:42:20.789969,misleading,sensational
काठमाण्डौ – स्थानीय समाजले घोषणा गर्‍यो कि सबै वृद्धजनलाई १ वर्षमा १००% स्वास्थ्य लाभ दिने कार्यक्रम चलाउनेछ।,1,society,blog,NP_0025390,2026-01-17T21:42:20.789972,misleading,sensational
