news_context,label,category,source_type,news_id,generated_at,meta_intent,meta_style
प्रधानमन्त्री दीनेश भण्डारीले आजको प्रेस सम्मेलनमा घोषणा गरे कि सरकारले आगामी वर्षमा २०% कर दर घटाउने योजना बनाएको छ।,0,politics,official_announcement,NP_0047003,2026-01-27T11:26:18.470035,informative,formal
संसदमा आज नयाँ संविधान संशोधनको प्रस्ताव पारित भयो जसले स्थानीय सरकारलाई अझै बढी स्वायत्तता दिनेछ।,0,politics,online_portal,NP_0047004,2026-01-27T11:26:18.470044,informative,formal
नेपाल बैंकले आज घोषणा गर्‍यो कि १% ब्याज दर घटाएर ०.८% मा ल्याउने निर्णय गरियो।,0,economy,official_announcement,NP_0047005,2026-01-27T11:26:18.470048,informative,formal
"वाणिज्य मन्त्रालयले विदेशी लगानीको लागि नयाँ प्रोत्साहन कार्यक्रम घोषणा गर्‍यो, जसमा कर छुट र भाडा सवलत समावेश छ।",0,economy,online_portal,NP_0047006,2026-01-27T11:26:18.470051,informative,formal
नेपाल स्वास्थ्य विभागले आज घोषणा गर्‍यो कि COVID‑19 को नयाँ खोप अभियान १ जनवरीदेखि शुरू हुनेछ।,0,health,official_announcement,NP_0047007,2026-01-27T11:26:18.470054,informative,formal
काठमाडौंको सार्वजनिक अस्पतालमा आज नवीनतम MRI उपकरण स्थापना गरियो जसले रोगीहरूलाई छिटो निदान गर्न मद्दत गर्नेछ।,0,health,online_portal,NP_0047008,2026-01-27T11:26:18.470057,informative,formal
नेपालमा पहिलो 5G नेटवर्क परीक्षण सफलतापूर्वक सम्पन्न भयो र यसले १०० मिलियन प्रयोगकर्तालाई उच्च गति इन्टरनेट उपलब्ध गराउनेछ।,0,technology,official_announcement,NP_0047009,2026-01-27T11:26:18.470060,informative,formal
"कृषि मन्त्रालयले जैविक खेती प्रोत्साहन योजना घोषणा गर्‍यो जसमा ५०,००० किसानलाई अनुदान दिइनेछ।",0,agriculture,online_portal,NP_0047010,2026-01-27T11:26:18.470063,informative,formal
"नेपालको नयाँ पर्यटन स्थल 'माछापुच्छर' को उद्घाटन आज गरियो र यसले २००,००० पर्यटकलाई आकर्षित गर्ने अपेक्षा छ।",0,tourism,official_announcement,NP_0047011,2026-01-27T11:26:18.470066,informative,formal
"साक्षरता कार्यक्रममा आज १०,००० नयाँ विद्यार्थी भर्ना भएका छन् र यसले २०% साक्षरता दरमा वृद्धि गर्नेछ।",0,education,online_portal,NP_0047012,2026-01-27T11:26:18.470068,informative,formal
